Date;Région;Nombre de trains programmés;Nombre de trains ayant circulé;Nombre de trains annulés;Nombre de trains en retard à l'arrivée;Taux de régularité;Nombre de trains à l'heure pour un train en retard à l'arrivée;Commentaires
2019-04;Occitanie;11205;10996;209;924;91.59996402554188;10.904710920770878;
2019-08;Occitanie;11467;11161;306;1065;90.45690641781847;9.478782287822884;
2020-08;Occitanie;12621;12375;246;1006;91.87;11.300123001229998;
2018-07;Occitanie;10784;10249;535;1577;84.61313298858425;5.499048826886494;
2020-09;Occitanie;13508;13195;313;1009;92.353164077302;12.0773042616452;
2018-09;Occitanie;11911;11619;292;1226;89.44831741113693;8.477161500815662;
2020-12;Occitanie;12582;12285;297;986;91.97;11.453300124533;
2018-11;Occitanie;11271;10882;389;1953;82.05293144642529;4.5719406041986685;
2019-03;Occitanie;11361;11130;231;1010;90.92542677448338;10.01980198019802;
2019-05;Occitanie;11371;11233;138;833;92.5857193354542;12.487485101311067;
2019-07;Occitanie;11635;11438;197;1171;89.76268837692707;8.768189509306259;
2019-09;Occitanie;11368;11137;231;984;91.16237799467612;10.315261044176712;
2019-11;Occitanie;11014;10723;291;1492;86.08592104057891;6.186965108624093;
2021-09;Occitanie;13435;12817;618;1348;89.48271826480456;8.508160237388724;
2019-12;Occitanie;2777;2599;178;431;83.42420937840785;5.032894736842105;
2022-01;Occitanie;13176;12805;550;1296;89.88000000000001;8.880401234567902;
2020-04;Occitanie;2627;2614;13;115;95.6;21.72727272727269;
2020-07;Occitanie;12496;12228;268;1046;91.44586195616615;10.690248565965572;
2020-11;Occitanie;8831;8597;234;768;91.07;10.198208286674124;
2023-01;Occitanie;13538;13173;365;1400;89.37220071358081;8.409285714285714;
2021-10;Occitanie;12492;12135;357;1296;89.32014833127317;8.363425925925926;
2023-10;Occitanie;13814;13422;392;1481;88.96587691849203;8.062795408507766;
2018-08;Occitanie;12002;11757;245;1432;87.82002211448498;7.210195530726257;
2018-10;Occitanie;11537;11046;491;1765;84.02136520007242;5.258356940509915;
2022-03;Occitanie;12998;12637;361;1082;91.43784125979268;10.679297597042511;
2022-04;Occitanie;11678;11321;357;988;91.27285575479198;10.458502024291498;
2018-12;Occitanie;8069;7900;169;1279;83.81012658227849;5.1767005473025804;
2019-01;Occitanie;11906;11548;358;1222;89.41808105299619;8.450081833060556;
2022-05;Occitanie;13104;12627;477;1453;88.49291201393838;7.69029593943565;
2024-05;Occitanie;13302;12959;343;1337;89.68284589860329;8.692595362752431;
2019-02;Occitanie;10713;10439;274;899;91.38806399080372;10.61179087875417;
2019-06;Occitanie;10832;10527;305;1128;89.2813868953304;8.329565217391293;
2019-10;Occitanie;10538;9443;1095;1044;88.9461403849893;8.046613896218117;
2022-10;Occitanie;13081;12618;463;1329;89.4674274845459;8.494356659142213;
2024-11;Occitanie;12780;12491;442;1789;85.68;5.982112912241476;
2023-03;Occitanie;6532;6349;183;567;91.06945975744212;10.197530864197532;
2025-02;Occitanie;12325;12082;354;1204;90.03;9.034883720930232;
2020-02;Occitanie;11512;11172;340;1112;90.05;9.050251256281404;
2023-07;Occitanie;13425;13008;417;1515;88.35332103321034;7.586138613861386;
2020-06;Occitanie;10381;10280;101;771;92.5;12.333333333333334;
2021-03;Occitanie;13845;13600;245;871;93.6;14.624999999999986;
2024-07;Occitanie;14339;13852;487;1673;87.92232168639907;7.279736999402271;
2021-02;Occitanie;12326;12038;288;914;92.41;12.175230566534909;
2021-07;Occitanie;12669;12091;578;1339;88.93;8.033423667570014;
2021-08;Occitanie;13186;12836;350;1345;89.5216578373325;8.543494423791822;
2021-05;Occitanie;10112;9896;216;688;93.05;13.388489208633088;
2021-11;Occitanie;12744;12268;476;1347;89.02021519400066;8.107646622123237;
2021-12;Occitanie;12928;12368;560;1243;89.94987063389392;8.950120675784392;
2022-06;Occitanie;13791;13435;544;1552;88.44999999999999;7.656572164948454;
2022-02;Occitanie;11870;11450;420;962;91.59825327510916;10.902286902286903;
2025-06;Occitanie;13563;13135;562;2061;84.31;5.373119844735565;
2025-07;Occitanie;14228;13942;440;2005;85.61999999999999;5.953615960099751;
2023-02;Occitanie;11582;11271;311;1304;88.43048531629847;7.64340490797546;
2023-04;Occitanie;10852;10366;486;1131;89.08933050356936;8.165340406719718;
2022-08;Occitanie;13423;12920;503;1634;87.3529411764706;6.906976744186046;
2023-05;Occitanie;12730;12361;369;1412;88.57697597281773;7.754249291784703;
2022-09;Occitanie;12560;12159;401;1229;89.89226087671683;8.893409275834012;
2023-06;Occitanie;13734;13229;505;1540;88.35890845868924;7.59025974025974;
2023-11;Occitanie;13254;12604;650;2079;83.50523643287845;5.062530062530063;
2024-02;Occitanie;12610;12104;506;1370;88.68142762723068;7.835036496350365;
2023-08;Occitanie;13576;13030;546;1721;86.792018419033;6.571179546775131;
2024-10;Occitanie;13423;12944;696;1730;86.63;6.482080924855492;
2024-01;Occitanie;14457;13956;501;1412;89.88248781885927;8.88385269121813;
2024-03;Occitanie;13603;13220;383;1577;88.07110438729198;7.383005707038681;
2024-08;Occitanie;13336;12953;383;1336;89.68578707635298;8.695359281437126;
2025-09;Occitanie;13649;13279;525;1508;88.64;7.8057029177718835;
2025-04;Occitanie;13606;13399;305;1350;89.92;8.925185185185185;
2020-01;Occitanie;6307;5802;505;717;85.27648234510326;5.791855203619908;
2020-03;Occitanie;7716;7504;212;633;91.6;10.904761904761896;
2020-05;Occitanie;5019;4967;52;300;93.96013690356352;15.556666666666676;
2020-10;Occitanie;12569;12120;449;1107;90.87;9.952902519167584;
2021-01;Occitanie;13017;12694;323;1086;91.44;10.682242990654204;
2021-04;Occitanie;11288;11115;173;689;93.8;15.129032258064507;
2021-06;Occitanie;10312;9957;355;944;90.52;9.548523206751051;
2022-07;Occitanie;12001;11386;615;1668;85.35043035306516;5.8261390887290165;
2022-11;Occitanie;12747;12153;594;1397;88.50489591047477;7.699355762347888;
2022-12;Occitanie;13031;12367;664;1597;87.08660143931431;6.7438948027551655;
2023-09;Occitanie;13389;12940;449;1486;88.516228748068;7.707940780619111;
2023-12;Occitanie;12936;12353;583;1856;84.97530964138265;5.655711206896552;
2024-04;Occitanie;13058;12559;499;1546;87.69010271518432;7.123544631306598;
2024-06;Occitanie;13652;13300;352;1293;90.2781954887218;9.2861562258314;
2024-09;Occitanie;13977;13457;520;1557;88.4;7.642903018625562;
2024-12;Occitanie;12404;12134;369;1508;87.57000000000001;7.046419098143236;
2025-01;Occitanie;14015;13664;503;1800;86.83;6.591111111111111;
2025-03;Occitanie;13868;13631;399;1391;89.8;8.79942487419123;
2025-05;Occitanie;13160;12917;356;1506;88.34;7.577025232403718;
2025-08;Occitanie;13549;13256;454;1975;85.1;5.711898734177216;
